"FaceID","cosine","sine","atlantis_layer","face_area","maxz","minz","uvec","Polygon #","Face #","adjacent box","roms_layer","u","v","lat","lon"
2,0.465710760946226,0.884936996140904,1,20690.8726234735,-5,0,"c(9514, 9515, 9670, 9671, 9672, 9827, 9828, 9829)",44,2,43,2,NA,NA,NA,NA
2,0.465710760946226,0.884936996140904,1,20690.8726234735,-5,0,"c(9514, 9515, 9670, 9671, 9672, 9827, 9828, 9829)",44,2,43,3,NA,NA,NA,NA
2,0.465710760946226,0.884936996140904,2,82763.4904938941,-25,-5,"c(9514, 9515, 9670, 9671, 9672, 9827, 9828, 9829)",43,2,44,2,NA,NA,NA,NA
2,0.465710760946226,0.884936996140904,2,82763.4904938941,-25,-5,"c(9514, 9515, 9670, 9671, 9672, 9827, 9828, 9829)",43,2,44,3,NA,NA,NA,NA
2,0.465710760946226,0.884936996140904,2,82763.4904938941,-25,-5,"c(9514, 9515, 9670, 9671, 9672, 9827, 9828, 9829)",44,2,43,4,NA,NA,NA,NA
2,0.465710760946226,0.884936996140904,2,82763.4904938941,-25,-5,"c(9514, 9515, 9670, 9671, 9672, 9827, 9828, 9829)",44,2,43,5,NA,NA,NA,NA
2,0.465710760946226,0.884936996140904,2,82763.4904938941,-25,-5,"c(9514, 9515, 9670, 9671, 9672, 9827, 9828, 9829)",44,2,43,6,NA,NA,NA,NA
2,0.465710760946226,0.884936996140904,2,82763.4904938941,-25,-5,"c(9514, 9515, 9670, 9671, 9672, 9827, 9828, 9829)",44,2,43,7,NA,NA,NA,NA
2,0.465710760946226,0.884936996140904,2,82763.4904938941,-25,-5,"c(9514, 9515, 9670, 9671, 9672, 9827, 9828, 9829)",44,2,43,8,NA,NA,NA,NA
2,0.465710760946226,0.884936996140904,2,82763.4904938941,-25,-5,"c(9514, 9515, 9670, 9671, 9672, 9827, 9828, 9829)",44,2,43,9,NA,NA,NA,NA
2,0.465710760946226,0.884936996140904,2,82763.4904938941,-25,-5,"c(9514, 9515, 9670, 9671, 9672, 9827, 9828, 9829)",44,2,43,10,NA,NA,NA,NA
3,0.3162277937186,0.948683288816593,1,790.569455875547,-5,0,"10145:10146",34,1,44,1,NA,NA,NA,NA
