"longitude","latitude","uidx"
-123.709480285645,47.0333633422852,1
-123.699478149414,47.0333633422852,2
-123.689476013184,47.0333633422852,3
-123.679473876953,47.0333633422852,4
-123.669479370117,47.0333633422852,5
-123.659477233887,47.0333633422852,6
-123.649475097656,47.0333633422852,7
-123.63948059082,47.0333633422852,8
-123.62947845459,47.0333633422852,9
-123.619476318359,47.0333633422852,10
-123.609474182129,47.0333633422852,11
-123.599479675293,47.0333633422852,12
-123.589477539062,47.0333633422852,13
-123.579475402832,47.0333633422852,14
-123.569473266602,47.0333633422852,15
-123.559478759766,47.0333633422852,16
-123.549476623535,47.0333633422852,17
-123.539474487305,47.0333633422852,18
-123.529479980469,47.0333633422852,19
-123.519477844238,47.0333633422852,20
-123.509475708008,47.0333633422852,21
-123.499473571777,47.0333633422852,22
-123.489479064941,47.0333633422852,23
-123.479476928711,47.0333633422852,24
-123.46947479248,47.0333633422852,25
-123.459480285645,47.0333633422852,26
-123.449478149414,47.0333633422852,27
-123.439476013184,47.0333633422852,28
-123.429473876953,47.0333633422852,29
-123.419479370117,47.0333633422852,30
-123.409477233887,47.0333633422852,31
-123.399475097656,47.0333633422852,32
-123.38948059082,47.0333633422852,33
-123.37947845459,47.0333633422852,34
-123.369476318359,47.0333633422852,35
-123.359474182129,47.0333633422852,36
-123.349479675293,47.0333633422852,37
-123.339477539062,47.0333633422852,38
-123.329475402832,47.0333633422852,39
-123.319473266602,47.0333633422852,40
-123.309478759766,47.0333633422852,41
-123.299476623535,47.0333633422852,42
-123.289474487305,47.0333633422852,43
-123.279479980469,47.0333633422852,44
-123.269477844238,47.0333633422852,45
-123.259475708008,47.0333633422852,46
-123.249473571777,47.0333633422852,47
-123.239479064941,47.0333633422852,48
-123.229476928711,47.0333633422852,49
-123.21947479248,47.0333633422852,50
-123.209480285645,47.0333633422852,51
-123.199478149414,47.0333633422852,52
-123.189476013184,47.0333633422852,53
-123.179473876953,47.0333633422852,54
-123.169479370117,47.0333633422852,55
-123.159477233887,47.0333633422852,56
-123.149475097656,47.0333633422852,57
-123.13948059082,47.0333633422852,58
-123.12947845459,47.0333633422852,59
-123.119476318359,47.0333633422852,60
-123.109474182129,47.0333633422852,61
-123.099479675293,47.0333633422852,62
-123.089477539062,47.0333633422852,63
-123.079475402832,47.0333633422852,64
-123.069473266602,47.0333633422852,65
-123.059478759766,47.0333633422852,66
-123.049476623535,47.0333633422852,67
-123.039474487305,47.0333633422852,68
-123.029479980469,47.0333633422852,69
-123.019477844238,47.0333633422852,70
-123.009475708008,47.0333633422852,71
-122.999473571777,47.0333633422852,72
-122.989479064941,47.0333633422852,73
-122.979476928711,47.0333633422852,74
-122.96947479248,47.0333633422852,75
-122.959480285645,47.0333633422852,76
-122.949478149414,47.0333633422852,77
-122.939476013184,47.0333633422852,78
-122.929473876953,47.0333633422852,79
-122.919479370117,47.0333633422852,80
-122.909477233887,47.0333633422852,81
-122.899475097656,47.0333633422852,82
-122.88948059082,47.0333633422852,83
-122.87947845459,47.0333633422852,84
-122.869476318359,47.0333633422852,85
-122.859474182129,47.0333633422852,86
-122.849479675293,47.0333633422852,87
-122.839477539062,47.0333633422852,88
-122.829475402832,47.0333633422852,89
-122.819473266602,47.0333633422852,90
-122.809478759766,47.0333633422852,91
-122.799476623535,47.0333633422852,92
-122.789474487305,47.0333633422852,93
-122.779479980469,47.0333633422852,94
-122.769477844238,47.0333633422852,95
-122.759475708008,47.0333633422852,96
-122.749473571777,47.0333633422852,97
-122.739479064941,47.0333633422852,98
-122.729476928711,47.0333633422852,99
-122.71947479248,47.0333633422852,100
-122.709480285645,47.0333633422852,101
-122.699478149414,47.0333633422852,102
-122.689476013184,47.0333633422852,103
-122.679473876953,47.0333633422852,104
-122.669479370117,47.0333633422852,105
-122.659477233887,47.0333633422852,106
-122.649475097656,47.0333633422852,107
-122.63948059082,47.0333633422852,108
-122.62947845459,47.0333633422852,109
-122.619476318359,47.0333633422852,110
-122.609474182129,47.0333633422852,111
-122.599479675293,47.0333633422852,112
-122.589477539062,47.0333633422852,113
-122.579475402832,47.0333633422852,114
-122.569473266602,47.0333633422852,115
-122.559478759766,47.0333633422852,116
-122.549476623535,47.0333633422852,117
-122.539474487305,47.0333633422852,118
-122.529479980469,47.0333633422852,119
-122.519477844238,47.0333633422852,120
-122.509475708008,47.0333633422852,121
-122.499473571777,47.0333633422852,122
-122.489479064941,47.0333633422852,123
-122.479476928711,47.0333633422852,124
-122.46947479248,47.0333633422852,125
-122.459480285645,47.0333633422852,126
-122.449478149414,47.0333633422852,127
-122.439476013184,47.0333633422852,128
-122.429473876953,47.0333633422852,129
-122.419479370117,47.0333633422852,130
-122.409477233887,47.0333633422852,131
-122.399475097656,47.0333633422852,132
-122.38948059082,47.0333633422852,133
-122.37947845459,47.0333633422852,134
-122.369476318359,47.0333633422852,135
-122.359474182129,47.0333633422852,136
-122.349479675293,47.0333633422852,137
-122.339477539062,47.0333633422852,138
-122.329475402832,47.0333633422852,139
-122.319473266602,47.0333633422852,140
-122.309478759766,47.0333633422852,141
-122.299476623535,47.0333633422852,142
-122.289474487305,47.0333633422852,143
-122.279479980469,47.0333633422852,144
-122.269477844238,47.0333633422852,145
-122.259475708008,47.0333633422852,146
-122.249473571777,47.0333633422852,147
-122.239479064941,47.0333633422852,148
-122.229476928711,47.0333633422852,149
-122.21947479248,47.0333633422852,150
-122.209480285645,47.0333633422852,151
-122.199478149414,47.0333633422852,152
-122.189476013184,47.0333633422852,153
-122.179473876953,47.0333633422852,154
-122.169479370117,47.0333633422852,155
-122.159477233887,47.0333633422852,156
-122.149475097656,47.0333633422852,157
-122.13948059082,47.0333633422852,158
-122.12947845459,47.0333633422852,159
